"","price","speed","hd","ram","screen","cd","multi","premium","trend"
"1",1499,25,"80","4","14","no","no","yes",1
"2",1795,33,"85","2","14","no","no","yes",1
"3",1595,25,"170","4","15","no","no","yes",1
"4",1849,25,"170","8","14","no","no","no",1
"5",3295,33,"340","16","14","no","no","yes",1
"6",3695,66,"340","16","14","no","no","yes",1
"7",1720,25,"170","4","14","yes","no","yes",1
"8",1995,50,"85","2","14","no","no","yes",1
"9",2225,50,"210","8","14","no","no","yes",1
"10",2575,50,"210","4","15","no","no","yes",1
"11",2195,33,"170","8","15","no","no","yes",1
"12",2605,66,"210","8","14","no","no","yes",1
"13",2045,50,"130","4","14","no","no","yes",1
"14",2295,25,"245","8","14","no","no","yes",1
"15",2699,50,"212","8","14","no","no","yes",1
"16",2225,50,"130","4","14","no","no","yes",1
"17",1595,33,"85","2","14","no","no","yes",1
"18",2325,33,"210","4","15","no","no","yes",1
"19",2095,33,"250","4","15","no","no","yes",1
"20",4395,66,"452","8","14","no","no","yes",1
"21",1695,33,"130","4","14","no","no","yes",1
"22",2795,66,"130","4","14","no","no","yes",1
"23",2895,25,"340","16","14","no","no","yes",1
"24",2875,50,"210","4","17","no","no","yes",1
"25",4195,50,"452","8","14","no","no","yes",1
"26",1290,33,"80","2","14","no","no","yes",1
"27",1975,33,"130","4","14","no","no","yes",1
"28",3995,33,"452","8","14","no","no","yes",1
"29",3095,33,"340","16","14","no","no","yes",1
"30",3244,66,"245","8","14","no","no","yes",1
"31",1920,33,"170","4","14","yes","no","yes",1
"32",1995,25,"130","4","14","no","no","yes",1
"33",2595,33,"210","8","17","no","no","yes",1
"34",2475,50,"210","4","15","no","no","yes",1
"35",1999,33,"170","4","14","no","no","yes",1
"36",2675,66,"210","4","15","no","no","yes",1
"37",2325,66,"210","8","14","no","no","yes",1
"38",3795,66,"500","8","14","no","no","yes",1
"39",2405,50,"210","8","14","no","no","yes",1
"40",2425,50,"210","8","14","no","no","yes",1
"41",2895,50,"245","8","14","no","no","yes",1
"42",3895,66,"500","8","15","no","no","yes",1
"43",2499,33,"212","8","14","no","no","yes",1
"44",2255,33,"210","8","14","no","no","yes",1
"45",3495,50,"340","16","14","no","no","yes",1
"46",2695,33,"245","8","14","no","no","yes",1
"47",2195,33,"130","4","14","no","no","yes",1
"48",1749,25,"120","4","14","no","no","yes",1
"49",2399,50,"212","4","14","no","no","yes",1
"50",1995,33,"250","4","14","no","no","yes",1
"51",2499,33,"170","4","14","no","no","yes",1
"52",2395,33,"130","4","14","no","no","yes",1
"53",2995,66,"340","8","15","no","no","yes",1
"54",2190,33,"210","4","14","no","no","yes",1
"55",2199,33,"212","8","14","no","no","no",1
"56",2125,50,"130","4","14","no","no","yes",1
"57",2045,66,"130","4","14","no","no","yes",1
"58",3075,66,"210","4","17","no","no","yes",1
"59",2945,66,"210","8","17","no","no","yes",1
"60",1945,50,"130","4","14","no","no","yes",1
"61",3990,66,"330","8","15","no","no","yes",1
"62",1795,33,"170","4","15","no","no","yes",1
"63",2495,33,"250","8","15","no","no","yes",1
"64",2220,33,"250","4","14","yes","no","yes",1
"65",2195,66,"85","2","14","no","no","yes",1
"66",1495,25,"170","4","14","no","no","yes",1
"67",2325,66,"130","4","14","no","no","yes",1
"68",1499,25,"120","4","14","no","no","yes",1
"69",2199,33,"212","4","14","no","no","yes",1
"70",3095,66,"245","8","14","no","no","yes",1
"71",4020,66,"500","8","14","yes","no","yes",1
"72",2725,33,"210","4","17","no","no","yes",1
"73",1695,33,"170","4","14","no","no","yes",1
"74",3044,50,"245","8","14","no","no","yes",1
"75",2999,50,"170","4","14","no","no","yes",1
"76",2844,33,"245","8","14","no","no","yes",1
"77",1975,33,"210","8","14","no","no","yes",1
