"","time","gold","silver"
"1","2002-01-01",166.01,183.09
"2","2002-01-02",166.15,180.99
"3","2002-01-03",165.74,183.91
"4","2002-01-04",166.16,185.6
"5","2002-01-07",166.01,186.3
"6","2002-01-08",166.19,185.23
"7","2002-01-09",168.89,188.04
"8","2002-01-10",171.12,187.64
"9","2002-01-11",171.31,187.57
"10","2002-01-14",170.1,180.29
"11","2002-01-15",169.51,181.9
"12","2002-01-16",171.3,182.18
"13","2002-01-17",169.58,177.52
"14","2002-01-18",168.82,173.53
"15","2002-01-21",168.82,173.53
"16","2002-01-22",167.96,171.29
"17","2002-01-23",166.24,170.18
"18","2002-01-24",166.01,170.7
"19","2002-01-25",166.43,171.99
"20","2002-01-28",166.1,169.82
"21","2002-01-29",167.83,171.62
"22","2002-01-30",168.14,171.55
"23","2002-01-31",168.15,168.76
"24","2002-02-01",170.47,172.37
"25","2002-02-04",172.46,171.67
"26","2002-02-05",177.82,175.76
"27","2002-02-06",177.35,174.49
"28","2002-02-07",178.73,173.69
"29","2002-02-08",180.99,178.09
"30","2002-02-11",178.88,176.53
"31","2002-02-12",179.19,179.36
"32","2002-02-13",178.42,180.2
"33","2002-02-14",178.55,181
"34","2002-02-15",177.78,181.25
"35","2002-02-18",177.78,181.25
"36","2002-02-19",174.66,178.66
"37","2002-02-20",174.08,175.95
"38","2002-02-21",174.62,176.88
"39","2002-02-22",174.63,175.97
"40","2002-02-25",174.3,174.84
"41","2002-02-26",177.46,177.16
"42","2002-02-27",176.52,177.25
"43","2002-02-28",176.82,180.13
"44","2002-03-01",177.61,182.13
"45","2002-03-04",176.86,183.55
"46","2002-03-05",175.26,181.69
"47","2002-03-06",174.97,180.7
"48","2002-03-07",172.95,178.71
"49","2002-03-08",172.84,179.72
"50","2002-03-11",173.46,178.95
"51","2002-03-12",174.99,179.48
"52","2002-03-13",175,180.68
"53","2002-03-14",173.53,179.57
"54","2002-03-15",172.88,179.3
"55","2002-03-18",174.22,179.73
"56","2002-03-19",174.64,180.54
"57","2002-03-20",174.29,180.95
"58","2002-03-21",174.72,179.96
"59","2002-03-22",177.4,181.24
"60","2002-03-25",177.55,182.87
"61","2002-03-26",177.02,183.08
"62","2002-03-27",180.18,186.88
"63","2002-03-28",180.42,185.69
"64","2002-03-29",180.42,185.69
"65","2002-04-01",180.76,187.73
"66","2002-04-02",182.43,189.61
"67","2002-04-03",180.36,186.43
"68","2002-04-04",179.48,184.76
"69","2002-04-05",178.89,182.97
"70","2002-04-08",179.1,182.6
"71","2002-04-09",178.04,182.14
"72","2002-04-10",179.83,184.94
"73","2002-04-11",180.13,183.19
"74","2002-04-12",180.08,183.6
"75","2002-04-15",178.8,177.93
"76","2002-04-16",178.09,176.15
"77","2002-04-17",180.07,177.95
"78","2002-04-18",181.5,179.91
"79","2002-04-19",180.2,180.12
"80","2002-04-22",180.58,181.77
"81","2002-04-23",181.19,182.9
"82","2002-04-24",181.31,182.55
"83","2002-04-25",183.58,184.86
"84","2002-04-26",185.67,186.19
"85","2002-04-29",185.34,185.58
"86","2002-04-30",183.98,181.4
"87","2002-05-01",184.11,181.21
"88","2002-05-02",183.64,181.74
"89","2002-05-03",185.97,183.82
"90","2002-05-06",185.41,183.73
"91","2002-05-07",185.65,184.53
"92","2002-05-08",183.64,182.67
"93","2002-05-09",184.42,184.35
"94","2002-05-10",185.32,186.07
"95","2002-05-13",185.16,183.59
"96","2002-05-14",183.21,183.6
"97","2002-05-15",184.05,184.8
"98","2002-05-16",184.77,185.33
"99","2002-05-17",185.25,185.94
"100","2002-05-20",188.31,190.55
"101","2002-05-21",188.44,193.15
"102","2002-05-22",189.75,192.96
"103","2002-05-23",192.43,195.84
"104","2002-05-24",191.19,194.25
"105","2002-05-27",191.19,194.25
"106","2002-05-28",193.31,194.69
"107","2002-05-29",194.09,197.21
"108","2002-05-30",194.04,198.82
"109","2002-05-31",194.53,201.1
"110","2002-06-03",194.67,202.64
"111","2002-06-04",195.34,204.45
"112","2002-06-05",191.36,197.28
"113","2002-06-06",193.57,199.28
"114","2002-06-07",193.34,198.69
"115","2002-06-10",189.86,196.01
"116","2002-06-11",190.47,194.82
"117","2002-06-12",190.83,196.17
"118","2002-06-13",189.3,192.88
"119","2002-06-14",190.08,193.6
"120","2002-06-17",189.1,192.56
"121","2002-06-18",190.06,193.48
"122","2002-06-19",190.42,193.41
"123","2002-06-20",192.45,194.57
"124","2002-06-21",193.29,193.99
"125","2002-06-24",193.08,194.49
"126","2002-06-25",190.6,193.15
"127","2002-06-26",190.78,194.03
"128","2002-06-27",190.08,194.84
"129","2002-06-28",186.7,193.14
"130","2002-07-01",187.02,194.48
"131","2002-07-02",186.32,196.95
"132","2002-07-03",185.19,197.16
"133","2002-07-04",185.19,197.16
"134","2002-07-05",185.21,197.18
"135","2002-07-08",185.95,198.2
"136","2002-07-09",188.34,201.31
"137","2002-07-10",187.54,201.01
"138","2002-07-11",189.06,202.69
"139","2002-07-12",188.07,201.62
"140","2002-07-15",190.46,203.76
"141","2002-07-16",189.05,200.39
"142","2002-07-17",189.12,199.28
"143","2002-07-18",188.77,199.29
"144","2002-07-19",192.8,202.21
"145","2002-07-22",192.59,200.92
"146","2002-07-23",186.1,194.48
"147","2002-07-24",185.28,193.57
"148","2002-07-25",184.34,193.38
"149","2002-07-26",180.5,185.82
"150","2002-07-29",180.11,184.85
"151","2002-07-30",181.01,185.58
"152","2002-07-31",180.54,183.2
"153","2002-08-01",181.03,182.61
"154","2002-08-02",182.81,183.01
"155","2002-08-05",183.19,184.63
"156","2002-08-06",181.84,183.84
"157","2002-08-07",187.05,186.32
"158","2002-08-08",184.75,184.86
"159","2002-08-09",187.01,186.14
"160","2002-08-12",186.92,183.11
"161","2002-08-13",186.98,182.6
"162","2002-08-14",185.57,177.73
"163","2002-08-15",187.12,178.69
"164","2002-08-16",186.71,179.14
"165","2002-08-19",182.18,175.63
"166","2002-08-20",183.79,176.95
"167","2002-08-21",183.14,176.28
"168","2002-08-22",182.56,178.04
"169","2002-08-23",182.57,176.34
"170","2002-08-26",184.19,176.92
"171","2002-08-27",185.92,179.58
"172","2002-08-28",184.15,179.39
"173","2002-08-29",186.23,180.67
"174","2002-08-30",185.94,177.15
"175","2002-09-02",185.94,177.15
"176","2002-09-03",186.63,177.86
"177","2002-09-04",187.53,178.26
"178","2002-09-05",189.49,180.25
"179","2002-09-06",190.51,180.06
"180","2002-09-09",191.3,182.58
"181","2002-09-10",189.3,181.6
"182","2002-09-11",188.53,181.01
"183","2002-09-12",189.91,182.81
"184","2002-09-13",188.55,181.51
"185","2002-09-16",188.81,181.33
"186","2002-09-17",188.65,182.45
"187","2002-09-18",190.79,184.13
"188","2002-09-19",192.04,184.93
"189","2002-09-20",191.64,184.54
"190","2002-09-23",192.2,184.49
"191","2002-09-24",194.04,185.37
"192","2002-09-25",191.92,182.6
"193","2002-09-26",190.8,179.63
"194","2002-09-27",190.45,178.84
"195","2002-09-30",192.91,180.58
"196","2002-10-01",191.14,178.2
"197","2002-10-02",191.5,178.09
"198","2002-10-03",191.27,178.1
"199","2002-10-04",191.81,178.3
"200","2002-10-07",191.72,176.74
"201","2002-10-08",189.53,173.69
"202","2002-10-09",190.37,172.78
"203","2002-10-10",188.36,170.21
"204","2002-10-11",188.25,171.6
"205","2002-10-14",189.11,171.23
"206","2002-10-15",186.03,171.75
"207","2002-10-16",186.81,173.63
"208","2002-10-17",185.34,172.64
"209","2002-10-18",186,173.25
"210","2002-10-21",184.95,172.95
"211","2002-10-22",186.21,175.35
"212","2002-10-23",185.62,175.15
"213","2002-10-24",184.8,173.37
"214","2002-10-25",186.41,175.17
"215","2002-10-28",187.45,175.39
"216","2002-10-29",188.94,179.3
"217","2002-10-30",188.24,178.31
"218","2002-10-31",189.14,179.11
"219","2002-11-01",189.62,178.53
"220","2002-11-04",189.35,178.43
"221","2002-11-05",189.3,178.75
"222","2002-11-06",188.89,178.28
"223","2002-11-07",190.68,180.96
"224","2002-11-08",191.16,180.25
"225","2002-11-11",191.12,181.86
"226","2002-11-12",192.97,182.97
"227","2002-11-13",189.54,181.4
"228","2002-11-14",189.07,181.48
"229","2002-11-15",190.79,182
"230","2002-11-18",189.92,180.48
"231","2002-11-19",189.63,180.88
"232","2002-11-20",188.93,180.49
"233","2002-11-21",188.87,177.88
"234","2002-11-22",190.9,180.86
"235","2002-11-25",189.14,178.06
"236","2002-11-26",189.02,176.21
"237","2002-11-27",188.5,175.62
"238","2002-11-28",188.5,175.62
"239","2002-11-29",188.51,175.63
"240","2002-12-02",188.94,175.93
"241","2002-12-03",190.55,180.29
"242","2002-12-04",191.69,181.29
"243","2002-12-05",193.18,183.79
"244","2002-12-06",194.07,184.19
"245","2002-12-09",193.74,182.82
"246","2002-12-10",192.38,183.14
"247","2002-12-11",193.15,184.02
"248","2002-12-12",197.08,188.27
"249","2002-12-13",198.09,186.69
"250","2002-12-16",200.37,186.51
"251","2002-12-17",200.61,184.06
"252","2002-12-18",203.41,185.06
"253","2002-12-19",205.67,187.24
"254","2002-12-20",202.41,183.56
"255","2002-12-23",205.16,184.49
"256","2002-12-24",206.18,184.78
"257","2002-12-25",206.18,184.78
"258","2002-12-26",207.44,186.49
"259","2002-12-27",207.63,187.21
"260","2002-12-30",204.32,185.25
"261","2002-12-31",206.76,190.76
"262","2003-01-01",206.76,190.76
"263","2003-01-02",205.77,191.21
"264","2003-01-03",208.8,194.39
"265","2003-01-06",209.12,194.69
"266","2003-01-07",206.51,190.93
"267","2003-01-08",210.44,193
"268","2003-01-09",210.1,192.53
"269","2003-01-10",210.82,193.25
"270","2003-01-13",210.96,191.96
"271","2003-01-14",209.41,188.99
"272","2003-01-15",208.65,189.59
"273","2003-01-16",212.81,191.78
"274","2003-01-17",212.04,190.79
"275","2003-01-20",212.04,190.79
"276","2003-01-21",212.54,191.21
"277","2003-01-22",213.97,192.33
"278","2003-01-23",216.83,189.84
"279","2003-01-24",219.03,193.81
"280","2003-01-27",219.64,191.85
"281","2003-01-28",220,193.44
"282","2003-01-29",217.82,190.67
"283","2003-01-30",219.19,193.25
"284","2003-01-31",218.84,192.86
"285","2003-02-03",220.34,191.89
"286","2003-02-04",225.27,195.19
"287","2003-02-05",223.68,189.24
"288","2003-02-06",219.83,185.76
"289","2003-02-07",219.72,184.57
"290","2003-02-10",216,182.6
